,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,环球银泰城,天童南路1088号,121.546,29.797,银泰百货,天童南路1008号环球银泰城1层底商,121.5453,29.7965,87.48449405734287
1,莱迪广场,药行街169号颐高莱迪时尚广场1-3楼,121.5516,29.8671,亚细亚75mall,药行街169号5-7楼,121.5519,29.8672,30.991380526417817
2,酷购商城,药行街152号天一广场6号门,121.5525,29.8685,银泰城,中山东路188号,121.553,29.869,73.59015189183529
3,银泰百货,中山东路238号,121.558,29.8699,宁波第二百货商店,中山东路220号,121.5572,29.8704,95.08658260139205
4,国际购物中心,中山东路166号,121.5541,29.8708,银泰百货,中山东路188号,121.5555,29.8708,134.99185932954973
5,国际购物中心,中山东路166号,121.5541,29.8708,天一广场,中山东路188号,121.5538,29.8696,136.53344004347798
6,银泰百货,中山东路188号,121.5555,29.8708,新华联商厦,中山东路181号,121.5557,29.8717,101.91654944802794
7,杉井奥特莱斯广场,秋实路555号,121.4502,29.8582,银泰西选杉,秋实路555号奥特莱斯广场11300铺位,121.4511,29.8577,103.07215763541953
8,天一广场,中山东路188号,121.5538,29.8696,银泰城,中山东路188号,121.553,29.869,101.98840069998487
9,世纪东方广场,中山东路1083号,121.5948,29.8614,银泰百货,中山东路1083号世纪东方广场F1,121.5961,29.8612,127.31882391642435
10,新世界百货,黄山路857号富邦广场新世界百货,121.8445,29.893,富邦世纪广场,黄山路857号,121.8439,29.8938,106.10696439636295
11,万达广场,江北大道188号,121.5305,29.9159,万达百货,江北大道188号宁波江北万达广场内,121.5305,29.9159,0.0
12,太平洋百货,人民大道9号宁海大厦,121.4304,29.2966,宁海大厦商城,人民大道15号,121.4304,29.2965,11.119492664568353
