mall_name,address,longitude,latitude 
北方国贸大厦,向阳路50号,120.4222,36.1575
城市传媒广场,珠江路588号,120.2045,35.9529
金茂湾购物中心,四川路23号,120.3008,36.0664
吾悦广场,滨海大道2888号,120.1640,35.9284
丽达购物中心,秦岭路18号,120.4694,36.1030
诺德广场,敦化路328号,120.3814,36.0920
万科生活广场,黑龙江南路2号,120.3934,36.1112
和谐广场,向阳路116号,120.4246,36.1619
银海大世界,东海中路30号,120.4231,36.0577
麦凯乐,香港中路69号,120.4030,36.0658
新业广场,辽阳西路100号,120.3885,36.0965
凯德MALL新都心,黑龙江南路18号,120.3960,36.1142
奥克斯广场,书院路37号,120.4209,36.1567
海上嘉年华澳乐购,漓江西路1138号,120.1697,35.9330
丽达购物中心,秦岭路18号,120.4693,36.1033
万象城,山东路6号甲,120.3777,36.0673
乐客城,夏庄路7号,120.4261,36.1605
利群金鼎广场,海尔路83号,120.4632,36.0935
城中城购物中心,兴阳路702号北后楼旁,120.3879,36.2876
利群商厦,台东三路77号利群商厦1层,120.3563,36.0819
永旺东部购物中心,香港中路72号,120.3970,36.0636
Lion Mall金狮广场,香港东路195号乙,120.4640,36.0957
融创茂购物广场,滨海大道2777号,120.1013,35.9052
万达广场,巨峰路178号,120.4339,36.1670
华润万象汇,正阳中路157号,120.4143,36.3064
卓越大融城,龙城路31号,120.3795,36.0906
万达广场,延吉路116号,120.3791,36.0881
海信广场,澳门路117号,120.3956,36.0610
家佳源购物中心,正阳路136号,120.4152,36.3046
万佳广场,和兴路59号,120.3581,36.0854
四方利群购物广场,重庆南路1号,120.3626,36.1045
丽达购物中心,铜川路216号,120.4519,36.1773
利客来购物中心,京口路58号,120.4229,36.1596
家佳源,长江中路308号,120.1855,35.9524
东方城购物中心,黑龙江中路2111号,120.4277,36.2361
青岛悦荟广场,人民路269号,120.3615,36.1054
万达百货,延吉路118号,120.3793,36.0876
中防商街,书院路1号,120.4227,36.1573
鲍岛农贸市场,乐陵路88号,120.3307,36.0827
百盛,香港东路195号乙金狮广场1层百盛,120.4640,36.0957
崂山百货,向阳路65号,120.4229,36.1590
中联创意广场,宁夏路与金湖路交叉口东100米,120.3846,36.0826
永旺购物广场,合肥路672号,120.4142,36.1112
永旺黄岛购物中心,长江中路419号,120.1885,35.9552
星光里商业街,秦岭路与梅岭东路交叉口西北角,120.4693,36.0997
海航万邦,香港中路2号,120.3752,36.0610
银座商城,香港中路31号,120.3912,36.0664
华联商厦,费县路6号,120.3142,36.0627
安泰广场,连云港路76号,120.3815,36.0888
中铁·青岛中心广场,香港中路8号乙,120.3802,36.0639
巴黎春天时尚商城,台东三路步行街交汇处,120.3558,36.0838
百盛,中山路44-60号,120.3183,36.0661
悦喜客来购物广场,中山路67号,120.3188,36.0673
宝龙城市广场,振华街88号,120.4574,36.3918
远洋广场,香港中路61号,120.3984,36.0660
妇女儿童用品批发市场,威海路191号,120.3566,36.0860
银座商城,向阳路116号,120.4245,36.1620
丽达生活广场,延安三路188号,120.3658,36.0734
家佳源,鹤山路999号,120.4198,36.3978
利群长江购物广场,香江路67号,120.1808,35.9692
万达广场,台东三路63号,120.3553,36.0825
证大大拇指广场,同安路880号,120.4476,36.1094
上流汇购物广场,武夷山路7号,120.1965,35.9478
庆客隆购物广场,延河路252号天河公寓内1号网点,120.1233,36.0085
百盛,山东路6号LG层L1-L2层,120.3789,36.0662
康大凤凰广场,长江西路157号,120.1709,35.9459
漫玉湾农贸综合市场,九水东路352号,120.4716,36.1709
山科大购物广场,前湾港路579号山东科技大学,120.1198,36.0045
爱购时尚百货,古田路18号,120.4039,36.0673
富地商城,临清路35号,120.3247,36.0746
纪念日百货,李村街道向阳路94号步行街,120.4224,36.1601
青岛市商城路综合市场,开平路6-52号,120.3810,36.1385
第九街区,崇阳路274号,120.4009,36.2986
维客运海城购物中心,香江路127号,120.1707,35.9732
利群前海购物广场,贵州路40号,120.3087,36.0581
青岛香格里拉中心商场,香港中路9号青岛香格里拉大酒店,120.3779,36.0643
汇融广场,香港西路63号65号,120.3701,36.0588
福泰广场,奥帆基地百丽广场商圈香港中路20号,120.3849,36.0652
香港中路地下商城,佳世客至远洋广场地下通道,120.3987,36.0647
麦凯乐,长江中路228号麦凯乐B1层,120.1900,35.9543
青岛国货,崇阳路491号国货汇海丽达购物中心2层,120.3829,36.2998
利客来购物广场,城阳街道正阳路388号,120.3790,36.3052
维客沧口购物中心,振华路161号,120.3876,36.1740
百丽广场,澳门路88号,120.3949,36.0599
中山商城,中山路113号甲,120.3189,36.0696
千川百货商厦,台东三路114号,120.3576,36.0818
利群城阳购物广场,正阳路与靖城路交叉口旁,120.4172,36.3063
汀town潮玩百货,香港中路93号,120.4097,36.0667
青岛李沧宝龙广场,九水路227号,120.4187,36.1486
青岛邻里中心,泰山路99号,120.3346,36.0835
丽达奥特莱斯,中山路149号,120.3188,36.0716
利群海琴购物广场,商丘路28号,120.3890,36.1429
利群胶州购物广场,澳门路298号,120.0353,36.2551
万达百货,黑龙江中路1138-8号,120.4334,36.1674
万达广场,同江路3号,120.2527,36.0146
大信东港超级农鲜市场,山东路36号,120.3758,36.0790
柯露广场,城阳街道185号,120.4053,36.3064
利群莱西商厦,水集街道烟台路28号,120.5235,36.8548
利群金海岸商场,长江东路696号,120.2182,35.9611
富安商城,富安商城A1区3排+13号,119.9220,36.7734
